,Title,Lyric,Age Class tag,processed_lyric,cluster
0,Lirik Lagu Ade Irma Suryani - Lagu Anak Indonesia,akan kuingat selalu ade irma suryani waktu dipeluk dipangku ibu dengan segala kasih kini ia terbaring dipangkuan tuhan senang dan bahagia hatinya kini ia terlena tertidur terbaring nyenyak dipelukan tuhannya,anak,akan ingat selalu ade irma suryani waktu peluk pangku ibu dengan segala kasih kini ia baring pangku tuhan senang dan bahagia hati kini ia lena tidur baring nyenyak peluk tuhan,0
1,Lirik Lagu Adik Jangan Cengeng - Joshua,adikku sayang janganlah menangis mama pergi tidak lama lama beli susu untuk adikku sayang josheph sayang ayolah bermain sama kak jo nonton tv saja film kartun ini asyik sekali adikku josheph janganlah rewel nanti kak jo bingung sendiri adikku sayang minumlah susu nanti mama segera pulang adikku jangan nakal adikku jangan rewel adikku jangan cengeng,anak,adik sayang jangan menang mama pergi tidak lama lama beli susu untuk adik sayang josheph sayang ayo main sama kak jo nonton tv saja film kartun ini asyik sekali adik josheph jangan rewel nanti kak jo bingung sendiri adik sayang minum susu nanti mama segera pulang adik jangan nakal adik jangan rewel adik jangan cengeng,0
2,Lirik Lagu Aku Anak Gembala - Tasya,"aku adalah anak gembala selalu riang serta gembira karena aku senang bekerja tak pernah malas ataupun lengah tralala la la la latralala la la la la la la setiap hariku bawa ternak ke padang rumput,di kaki bukit rumputnya hijau,subur dan banyak ternakku makan tak pernah sedikit tralala.......",anak,aku adalah anak gembala selalu riang serta gembira karena aku senang kerja tak pernah malas atau lengah tralala la la la latralala la la la la la la tiap hari bawa ternak ke padang rumput di kaki bukit rumput hijau subur dan banyak ternak makan tak pernah sedikit tralala,2
3,Lirik Lagu Aku Anak Indonesia - Tasya,aku anak indonesia anak yang merdeka satu nusaku satu bangsaku satu bahasaku indonesia...indonesia aku bangga menjadi anak indonesia pending di khatulistiwa tanahku indonesia ibu pulaunya ragam sukunya satu jiwa raganya,anak,aku anak indonesia anak yang merdeka satu nusa satu bangsa satu bahasa indonesia indonesia aku bangga jadi anak indonesia pending di khatulistiwa tanah indonesia ibu pulau ragam suku satu jiwa raga,0
4,Lirik Lagu Aku Anak Raja - Lagu Sekolah Minggu,aku anak raja engkau anak raja kita semua anak raja tangan di lambai-lambai pinggul di goyang-goyang kaki di sentak-sentak putar badan,anak,aku anak raja engkau anak raja kita semua anak raja tangan di lambai pinggul di goyang kaki di sentak putar badan,0
5,Lirik Lagu Aku Seorang Kapiten - Lagu Anak Indones,aku seorang kapiten mempunyai pedang panjang kalau berjalan prok-prok-prok aku seorang kapiten,anak,aku orang kapiten punya pedang panjang kalau jalan prok-prok-prok aku orang kapiten,2
6,Lirik Lagu Ambilkan Bulan Bu - Tasya,"ambilkan bulan bu,ambilkan bulan bu yang selalu bersinar di langit di langit bulan benderang cahayanya sampai ke bintang ambilkan bulan bu untuk menerangi,tidurku yang lelap di malam gelap",anak,ambil bulan bu ambil bulan bu yang selalu sinar di langit di langit bulan benderang cahaya sampai ke bintang ambil bulan bu untuk rang tidur yang lelap di malam gelap,0
7,Lirik Lagu Amrin Membolos - Lagu Anak Indonesia,aku punya teman amrin namanya anaknya periang suka tertawa pernah ia lupa masuk sekolah berkeliling kota tidak mengenal lelah amrin membolos kata bu guru jangan membolos menyusahkan ibu ibu amat susah si amrin lari pergi dengan ayah untuk mencari ayah ke polisi dan pusat pandu yang segera mencari amrin pulang kembali,anak,aku punya teman amrin nama anak periang suka tertawa pernah ia lupa masuk sekolah keliling kota tidak kenal lelah amrin bolos kata bu guru jangan bolos susah ibu ibu amat susah si amrin lari pergi dengan ayah untuk cari ayah ke polisi dan pusat pandu yang segera cari amrin pulang kembali,0
8,Lirik Lagu Anak Ajaib - Joshua,"blo..blo..blo..blo..blo..blo blo..blo..blo..blo hai anak ajaib selalu jadi idola hai, anak ajaib memang sungguh jenius saat orang butuh di tolong, kau bagai malaikat saat orang sedang bersedih kau buatnya tertawa ha hai, anak ajaib selalu jadi impian hai,anak ajaib selalu banyak teman saat orang butuh di tolong, kau bagai malaikat saat orang sedang bersedih kau buatnya tertawa ha hai,anak ajaib selalu jadi idola hai,anak ajaib memang sungguh jenaka",anak,blo blo blo blo blo blo blo blo blo blo hai anak ajaib selalu jadi idola hai anak ajaib memang sungguh jenius saat orang butuh di tolong kau bagai malaikat saat orang sedang sedih kau buat tertawa ha hai anak ajaib selalu jadi impi hai anak ajaib selalu banyak teman saat orang butuh di tolong kau bagai malaikat saat orang sedang sedih kau buat tertawa ha hai anak ajaib selalu jadi idola hai anak ajaib memang sungguh jenaka,2
9,Lirik Lagu Anak Mama - Joshua,siapa pintarãƒâ¢ã¢â€šâ¬ã‚â¦ anak mama siapa pandai ãƒâ¢ã¢â€šâ¬ã‚â¦ anak papa siapa rajin anak mama papa siapa malas bukan anak mama ayo kawan bersama membaca dan menulis buku-buku pelajaran sekolah jangan malas membaca jangan malas menulis kalau ingin jadi anak yang pintar kalau pintarãƒâ¢ã¢â€šâ¬ã‚â¦ mama sayang kalau pandaiãƒâ¢ã¢â€šâ¬ã‚â¦ papa sayang kalau rajin ibu guru sayang sayang sayang sayang semuanya sayang,anak,siapa pintar anak mama siapa pandai anak papa siapa rajin anak mama papa siapa malas bukan anak mama ayo kawan sama baca dan tulis buku ajar sekolah jangan malas baca jangan malas tulis kalau ingin jadi anak yang pintar kalau pintar mama sayang kalau pandai papa sayang kalau rajin ibu guru sayang sayang sayang sayang semua sayang,0
10,Lirik Lagu Anak Monyet - Lagu Sekolah Minggu,anak monyet di atas pohon anak burung di dalam sangkar anak cacing di dalam tanah anak tuhan di sekolah minggu,anak,anak monyet di atas pohon anak burung di dalam sangkar anak cacing di dalam tanah anak tuhan di sekolah minggu,0
11,Lirik Lagu Anak Negeri - Katon Bagaskara,menghirup bau rumputan di tengah pegunungan hijau batinku tersenyum mesra kepadamu di pantai temui ombak surya merah tenggelam duhai pesona mewarna jiwa kepadamu tanahku alam persada dimana tangisan pertama membelah keheningan jadi bahagia kuterlahir tuk bermakna menatap ragam budaya santun hati insan nan ramah selalu dijunjung tinggi citra hati bela bangsa tanahku bumi persada dentuman di jantung berkata kubangga tegak dan membusungkan dada anak negeriãƒâ¢ã¢â€šâ¬ã‚â¦ pertiwi,anak,hirup bau rumput di tengah gunung hijau batin senyum mesra kepada di pantai temu ombak surya merah tenggelam duhai pesona warna jiwa kepada tanah alam persada mana tangis pertama belah hening jadi bahagia lahir tuk makna tatap ragam budaya santun hati insan nan ramah selalu junjung tinggi citra hati bela bangsa tanah bumi persada dentum di jantung kata bangga tegak dan busung dada anak negeri pertiwi,0
12,Lirik Lagu Anjing kecil - Lagu Anak Indonesia,aku punya anjing kecil kuberi nama helly dia senang bermain-main sambil berlari-lari helly! guk! guk! guk kemari! guk! guk! guk ayo lari-lari helly! guk! guk! guk kemari! guk! guk! guk ayo lari-lari,anak,aku punya anjing kecil beri nama helly dia senang main sambil lari helly guk guk guk kemari guk guk guk ayo lari helly guk guk guk kemari guk guk guk ayo lari,0
13,Lirik Lagu Awan - Lagu Anak Indonesia,kulihat awan seputih kapas arak berarak dilangit luas andai kudapat kesana terbang akan kuraih kubawa pulang,anak,lihat awan putih kapas arak arak langit luas andai dapat kesana terbang akan raih bawa pulang,0
